电影名称,别称,导演,主演,年代,地区,影片类型,评分,评价人数,简介
肖申克的救赎,/ 月黑高飞(港)  /  刺激1995(台),弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbin,蒂姆·罗宾斯 Tim Robbin,,1994,犯罪 剧情,9.7,,
霸王别姬,/ 再见，我的妾  /  Farewell My Concubine,陈凯歌 Kaige Chen   主演: 张国荣 Le,张国荣 Le,,1993,剧情 爱情 同性,9.6,,
泰坦尼克号,/ 铁达尼号(港 / 台),詹姆斯·卡梅隆 Jame,莱昂纳多·迪卡普里奥 Leonardo...,,1997,剧情 爱情 灾难,9.5,,
阿甘正传,/ 福雷斯特·冈普,罗伯特·泽米吉斯 Robert Zemecki,汤姆·汉克斯 Tom Hank,,1994,剧情 爱情,9.5,,
千与千寻,/ 神隐少女(台)  /  千与千寻的神隐,宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,柊瑠美 Rumi Hîragi / 入野自由 Miy...,,2001,剧情 动画 奇幻,9.4,,
美丽人生,/ 一个快乐的传说(港)  /  Life Is Beautiful,罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,罗伯托·贝尼尼 Roberto Beni...,,1997,剧情 喜剧 爱情 战争,9.5,,
这个杀手不太冷,/ 终极追杀令(台)  /  杀手莱昂,吕克·贝松 Luc Be,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,,1994,剧情 动作 犯罪,9.4,,
星际穿越,/ 星际启示录(港)  /  星际效应(台),克里斯托弗·诺兰 Chri,马修·麦康纳 Matthew Mc...,,2014,剧情 科幻 冒险,9.4,,
盗梦空间,/ 潜行凶间(港)  /  全面启动(台),克里斯托弗·诺兰 Chri,莱昂纳多·迪卡普里奥 Le...,,2010,剧情 科幻 悬疑 冒险,9.4,,
楚门的世界,/ 真人Show(港)  /  真人戏,彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,,1998,剧情 科幻,9.4,,
辛德勒的名单,/ 舒特拉的名单(港)  /  辛德勒名单,史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Nee,连姆·尼森 Liam Nee,,1993,剧情 历史 战争,9.5,,
忠犬八公的故事,/ 秋田犬八千(港)  /  忠犬小八(台),莱塞·霍尔斯道姆 La,理查·基尔 Richard Ger...,,2009,剧情,9.4,,
海上钢琴师,/ 声光伴我飞(港)  /  一九零零的传奇,朱塞佩·托纳多雷 Giu,蒂姆·罗斯 Tim Roth / ...,,1998,剧情 音乐,9.3,,
